topic_id,top_words,topic_label,label_confidence,unsure_flag,unsure_reason,alt_label_1,alt_label_2
0,"respects, fulfilled, ticking, evoking, revels, cushions, diving, swell, delicacy, entrusted",Incoherent/Duplicate: Abstract Tokens,Low,1,Abstract word list; near-duplicate of topic 1.,Generic Abstract Words,
1,"evoking, respects, fulfilled, entrusted, delicacy, cushions, expertly, reassures, ticking, diving",Incoherent/Duplicate: Topic 0 Duplicate,Low,1,Nearly identical to topic 0 with no clear user task.,Generic Abstract Words,
2,"quotes, neural, product, categories, term, risk, processing, choices, cost, cycle",Product Risk Analysis,Low,1,Business and technical terms are mixed; intent is unclear.,Technical Product Planning,Risk Cost Analysis
3,"view, triplet, sound, dream, newest, daughters, alive, loudly, portrait, phoenix",Fantasy Portrait Prompting,Low,1,Sparse creative and image-like words only.,Fantasy Image Description,Creative Scene Prompting
4,"year, than, points, old, every, age, scenario, cast, because, years",Age Scenario Questions,Low,1,Age/year words suggest scenarios but not a clear task.,Age-Based Scenarios,Scenario Reasoning
5,"digital, based, data, such, deployment, network, scikit, used, provide, and",Data Science Deployment,Medium,0,,Scikit-Learn Deployment,Network Data Systems
6,"please, your, thank, person, you, cassy, good, most, have, any",Incoherent/Duplicate: Generic Polite Tokens,Low,1,Mostly pronouns and polite filler words; no stable topic.,Polite Chat Openings,
7,"job, work, experience, resume, working, team, professional, dental, needs, customer",Career Resume Help,High,0,,Job Application Help,Professional Experience Writing
8,"stage, move, button, display, self, text, 360, height, tkinter, gif",Python GUI Programming,High,0,,Tkinter Interface Coding,GUI Animation Coding
9,"back, go, said, nightshade, out, tantrum, he, circus, before, then",Creative Story Writing,Medium,0,,Narrative Scene Writing,Fiction Dialogue Writing
10,"diving, delicacy, respects, fulfilled, entrusted, valuables, imbued, ticking, snippets, tedious",Incoherent/Duplicate: Abstract Tokens,Low,1,Near-duplicate abstract tokens with no clear intent.,Generic Abstract Words,
11,"kc, demographic, hemisphere, social, agriculture, africans, divergent, 1607, innovations, 1491",History Social Studies,Medium,0,,Historical Demography Questions,Agriculture History Homework
12,"17, 13, 14, 21, round, 19, state, 18, 22, division",Incoherent/Duplicate: Numeric Fragments,Low,1,Mostly numbers plus broad terms; no clear user task.,Numbered Ranking Questions,
13,"respects, diving, delicacy, entrusted, reassures, fulfilled, ticking, wary, intensified, evoking",Incoherent/Duplicate: Abstract Tokens,Low,1,Repeated abstract token pattern with no clear intent.,Generic Abstract Words,
14,"magic, points, cast, ll, mage, base, spell, every, keep, don",Fantasy Game Mechanics,High,0,,Magic Spell Mechanics,Roleplaying Game Rules
15,"multifaceted, in, and, to, of, aspirations, acknowledging, students, the, our",Student Reflection Writing,Low,1,Academic-sounding words mixed with stopwords; task is vague.,Student Aspirations Essay,Reflective Writing Help
16,"diving, delicacy, respects, imbued, entrusted, evoking, snippets, blockbuster, fulfilled, ticking",Incoherent/Duplicate: Abstract Tokens,Low,1,Repeated abstract token pattern with no clear intent.,Generic Abstract Words,
17,"diving, delicacy, entrusted, ticking, respects, evoking, reassures, cushions, imbued, blossoms",Incoherent/Duplicate: Abstract Tokens,Low,1,Repeated abstract token pattern with no clear intent.,Generic Abstract Words,
18,"delicacy, entrusted, evoking, diving, respects, cushions, reassures, expertly, valuables, ticking",Incoherent/Duplicate: Abstract Tokens,Low,1,Repeated abstract token pattern with no clear intent.,Generic Abstract Words,
19,"respects, delicacy, entrusted, evoking, diving, reassures, snippets, ticking, polaris, wary",Incoherent/Duplicate: Abstract Tokens,Low,1,Repeated abstract token pattern with no clear intent.,Generic Abstract Words,
20,"air, fire, william, setting, cup, depth, filled, field, shop, hands",Incoherent/Duplicate: Repeated Visual Tokens,Low,1,Near-duplicate visual token list; no unique CTM topic.,Visual Scene Prompting,AI Image Prompting
21,"lane, quarters, fellow, iron, base, commander, carrier, wizard, aircraft, resting",Fantasy Military Fiction,Medium,0,,Military Fantasy Scenario,Fantasy Battle Writing
22,"to, most, from, pray, before, over, been, details, person, money",Incoherent/Duplicate: Generic Function Words,Low,1,Mostly function words with isolated pray/money terms.,Prayer Money Questions,
