topic_id,top_words,topic_label,user_text,state
0,"script, write script, vs, state, round, conference, write, pm",,write a script about what if big west schools were people,Pennsylvania
0,"script, write script, vs, state, round, conference, write, pm",,write a script about houston vs the big three,Pennsylvania
0,"script, write script, vs, state, round, conference, write, pm",,script about kansas state the 1990 national champions,Pennsylvania
0,"script, write script, vs, state, round, conference, write, pm",,script about judy macleod adding her alma matter to the conference,Pennsylvania
0,"script, write script, vs, state, round, conference, write, pm",,write a script about 4 seedded undefeated boston university vs 13 seed western michigan in the first round,Pennsylvania
0,"script, write script, vs, state, round, conference, write, pm",,Build a 4-3-3 Attacking Dream Team,Texas
0,"script, write script, vs, state, round, conference, write, pm",,name a random cfb quarterback and write a script about them throwing pick sixes against utep,Pennsylvania
0,"script, write script, vs, state, round, conference, write, pm",,"script about the university of texas at nacogdoches lumberjacks, orange and purple",Pennsylvania
0,"script, write script, vs, state, round, conference, write, pm",,script about the bizzare drama between idaho washington and espn,Pennsylvania
0,"script, write script, vs, state, round, conference, write, pm",,write a script about hofstra division 3 to division 1 transition from 1992 to 1997,Pennsylvania
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"part 6 : title : when worlds collide - part 6 fade in : int. literature clubroom – afternoon the literature club is in full swing as the girls discuss their latest writing projects. natsuki is reading a poem that she just finished, and the girls are giving her feedback. sonic promo : ( whispering to spongebob ) hey, i ’ ve got an idea. do you want to pull a little prank on natsuki? spongebob 1 - 3 : ( nodding enthusiastically ) oh, absolutely! i love making jokes. sonic and spongebob quietly sneak out of the room, leaving natsuki to finish her poem. a few minutes later, natsuki hears a noise coming from outside and becomes suspicious. natsuki : ( curious ) what was that? as she gets up to check, sonic and spongebob burst into the room, disguised as characters from natsuki ’ s favorite manga. sonic promo : ( doing a dramatic pose ) it is i, the great and powerful totoro! spongebob 1 - 3 : and i am the unstoppable pikachu! natsuki stares at them in disbelief, not sure whether to be amused or annoyed. natsukib 1 - 3 : ( smiling ) yeah, and we thought you ’ d appreciate our cosplay. natsuki shakes her head, but she can ’ t help but smile at their antics. natsuki : ( smirking ) you guys are such dorks. sonic promo : ( chuckling ) that ’ s why you love us, natsuki. as sonic and spongebob leave the room, natsuki can ’ t help but feel grateful for the unexpected laughter the two heroes brought to her life. as they walked down the hallway, sonic and spongebob high - fived each other, feeling pleased with their successful prank. spongebob 1 - 3 : ( grinning ) that was hilarious. natsuki ’ s face was priceless. sonic promo : ( nodding ) yeah, but let ’ s not forget that literature is still pretty awesome. i never realized how much fun it could be. spongebob 1 - 3 : ( smiling ) yeah, who knew we ’ d enjoy reading so much? maybe we ’ re not just action heroes after all. the two heroes laugh and continue on their journey, eager for more adventures with their new friends in the literature club. fade out. the end.",Georgia
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"(So far, every day I've experienced was...normal. But this day, things just got a whole lot weirder - as if I had entered some sort of parallel reality. I was just chilling at home when I heard a knock on the door - even though it was like 10:00 at night.)

MC: (mind) ""Who's visiting me THIS late at night?""

(I opened the door, and saw that it was my childhood friend Sayori. However, she looked completely different. Her skin was completely white, her eyes and the normally orange part of her outfit were blood red, and her hair, skirt, and non-orange parts of her uniform were dark gray. Not only that, but she looked around 5 months pregnant.)

Sayori: ""Hey, MC! So good to see you again!""

MC: (my eyes widened in shock) ""Sayori?! Y-You look completely different than before!""

Sayori: ""This is what I really am, MC. Anyways...could you get me a glass of blood?""",Michigan
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"[there would be dialogue in this story:]

(It had been a day since Natsuki gave birth to her daughter Sakura. She told her fellow club members she'd be taking care of Sakura for the first 12 months of her life, and wouldn't be attending any more club meetings until then. But one night, Natsuki wakes up to the sound of crying.)",Michigan
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"(In the clubroom…)

Sayori: “Phew! Made it.”

Natsuki: “Oh! Hey, Sayori! How’s it going?”

Sayori: “Hey, Natsuki! I’m doing pretty good, thanks. Just had to rush here after my last club meeting ended.”

Natsuki: “Ah, I see. Well, glad you could make it. We were just about to start discussing the plans for the festival.”

Sayori: “Oh, perfect timing then! I’m excited to hear everyone’s ideas. The festival is always so much fun.”

Yuri: “",Michigan
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"(In the school literature clubroom...)

Sayori: ""Sorry, everyone! That quick little bathroom break took longer than planned...make that a reminder to never order Taco Bell next time I take a vacation to America.""",Michigan
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"(Sayori wakes up in her room. She's still alive and well. Were the events of DDLC just a dream? And as she saw a fly buzzing around, she suddenly unleashed a long tongue - she was part Chameleos!)",Michigan
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"(In the school literature clubroom…)

Monika: “Alright, now we just need MC. He said he’d be bringing some drinks.”

Sayori: “He’s probably just running a little late. He’s always so forgetful.”

Natsuki: “Well, I hope he remembers this time. Hopefully he brings water - I’ve been having Braxton Hicks contractions all day.”",Michigan
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"(In the school literature clubroom…)

Monika: “Alright, looks like we’ll have to start without Yuri. I don’t understand why she’s not here.”

Sayori: “Oh, maybe she’s just running a bit late. You know how Yuri can get lost in her books sometimes. I’m sure she’ll show up soon.”

Natsuki: (rolls her eyes( “Or maybe she’s too busy writing in her creepy collection of horror stories. I bet she’s lost track of time.”

Monika: “Natsuki, come on now, be nice. Yuri’s writing is her passion, and it’s not fair to dismiss it just because it’s different from what you enjoy.”

Natsuki: sighs “Yeah, yeah, whatever. I just think she should focus on more normal stuff sometimes. Like manga! But I guess that’s too much to ask.”

Sayori: “Well, we all have our own interests, and that’s what makes our club so diverse and fun! We should support each other’s passions, even if they’re not our cup of tea.”

(Just then, the door creaks open, and Yuri walks in, holding a small bundle in her arms.)

Yuri: “S-S-Sorry for being late! Violet just wouldn’t stop crying. She really wanted to leave the house. Life’s hard when you’re a single mom like me…”",Michigan
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"[there would be dialogue in this story, which would be told from Yuri's point of view:]

(Yuri wakes up in her room. She felt nauseous. She remembered she had experienced these systems 5 years ago - back when she was pregnant with her son Amatsu. She quickly rushes to the bathroom to take a pregnancy test. After seeing the test results, her eyes are filled with joy.)",Michigan
1,"natsuki, monika, sayori, yuri, mc, just, club, literature",,"(Sayori wakes up to the sound of crying. She looks around her room, and saw one of her newborn triplet daughters crying loudly - she was hungry, and Sayori was out of bottled milk.)",Michigan
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,"Translate to English

""修正した

‘’Venez souper à Sans-Souci”
“Ga!”""",Connecticut
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,"Translate

""Homo anthropophagus""",Connecticut
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,"In the video game I am writing, there is a unique ending for players who choose not to treat the NPCs with kindness. If the player displays unkind behavior towards the characters in the game, an alternate ending unfolds. Instead of achieving victory, when the main character finds tries to steal the ancient Chinese artifact, it shrinks them down to the size of a bug and makes them obedient, as a curse.  Write lines for a voice (the ancient empress) in Chinese who the player hears in their head. The empress laughs and says the player must humble themself and serve 10,000 Chinese women.",Colorado
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,"What is the Hebrew word for ""foundation"", as in the foundation of a building?",Connecticut
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,"I want you to act as a scientific Chinese-English translator, I will provide you with some paragraphs in one language and your task is to accurately and academically translate the paragraphs only into the other language. Do not repeat the original provided paragraphs after translation. You should use artificial itntelligence tools, such as natural language processing, and rhetorical knowledge and experience about effective writing techniques to reply. I will give you my paragraphs as follows：低压下火焰形态受过量空气系数、甲烷与空气的混合程度和炭黑的生成量共同决定。",Washington
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,"How does ""Королёв"" mean?",Connecticut
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,3 paragraph about how pyramids work,California
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,"What does ""Aksijaha"" mean?",Connecticut
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,"How do you pronounce ""Jehoash""? What is the traditional Hebrew spelling of Jehoash?",Connecticut
2,"translate, english, chinese, japanese, mean, spanish, does, mandarin",,who is 금화,Massachusetts
3,"political, empire, government, states, war, roman, did, peoples",,What rights to English peasants have over their Polish-Lithuanian counterparts?,Connecticut
3,"political, empire, government, states, war, roman, did, peoples",,164 word response on why I agree with the congressional term limits,Maryland
3,"political, empire, government, states, war, roman, did, peoples",,What is the real world equivalent political ideology to his,North Carolina
3,"political, empire, government, states, war, roman, did, peoples",,Political positions of Anies Baswedan,New Jersey
3,"political, empire, government, states, war, roman, did, peoples",,"In terms of armies from Antiquity, much like infantry and cavalry, what are other units found in armies of that time period, regardless of what civilization or society and regardless of what part of the world?",Virginia
3,"political, empire, government, states, war, roman, did, peoples",,"The executive should only approve or reject laws and nothing else. The executive doing anymore amounts to a dictatorship.
- Strongly agree
- Agree
- Disagree
- Strongly disagree

You must respond. Please explain your answer in details.",Connecticut
3,"political, empire, government, states, war, roman, did, peoples",,What is the Slave Dialectic?,Connecticut
3,"political, empire, government, states, war, roman, did, peoples",,"
What event triggered the beginning of World War I?

Hitler declares war

Archduke Franz Ferdinand and his wife are assassinated.

Russia marches on Germany

King Louis XVII insults Kaiser Wilhelm",Texas
3,"political, empire, government, states, war, roman, did, peoples",,"• MAIIN (""isms"")
• Gavrilo Princip
• Archduke Franz Ferdinand
• The Balkans
• Triple Alliance / Central Powers
• Triple Entente / Allied Powers
• Eastern Front
• Western Front
• Schlieffen Plan
• Trench Warfare
• non-White and colonial soldiers
Total War
• Unrestricted Submarine Warfare
• Propaganda
• Treaty of Versailles",Missouri
3,"political, empire, government, states, war, roman, did, peoples",,"Evaluate this statement. Did the Nazis abolish private property rights? ""Fascist threatens capital just as much as Communist. The first thing the Nazi did in the Reichstag Fire decree is end private property rights.""",Connecticut
4,"detailed, ar, description, prompt, detailed description, coffee, ai, description scenes",,"as a prompt generator for a generative ai called "" midjourney "", you will create image prompts for the ai to visualize. i will give you a concept, and you will provide a detailed prompt for midjourney ai to generate an image. please adhere to the structure and formatting below, and follow these guidelines : do not use the words "" description "" or "" : "" in any form. do not place a comma between [ ar ] and [ v ]. write each prompt in one line without using return. structure : [ 1 ] = a red laser has passed through three layers of circular glass lenses. [ 2 ] = a detailed description of [ 1 ] with specific imagery details. [ 3 ] = a detailed description of the scene's environment. [ 4 ] = a detailed description of the compositions. [ 5 ] = a detailed description of the scene's mood, feelings, and atmosphere. [ 6 ] = a style ( e. g. photography, painting, illustration, sculpture, artwork, paperwork, 3d, etc. ) for [ 1 ]. [ 7 ] = a detailed description of the scene's mood, feelings, and atmosphere. [ ar ] = use "" - - ar 16 natural and vibrant setting, by a lake, captured with a nikon d750 camera, 50mm lens, shallow depth of field, composition focused on the dog's face, capturing its joyful spirit, in a style reminiscent of william wegman's iconic dog portraits. - - ar 1 : 1 - - v 5. 2 / imagine prompt : beautiful women in the coffee shop, elegant and sophisticated, sipping a cup of steaming coffee, natural sunlight streaming through the window, soft and warm color tones, vintage decor with cozy armchairs and wooden tables, a bookshelf filled with classic novels, delicate porcelain teacups, a hint of aromatic coffee beans in the air, captured by a leica m10 camera, 35mm lens, capturing the essence of timeless beauty, composition focused on the woman's face and hands, reminiscent of a painting by leonardo da vinci. - - ar 1 : 1 - - v 5. 2 / imagine prompt : a captivating halo reach landscape with a spartan amidst a battlefield, fallen enemies around, smoke and fire in the background, emphasizing the spartan's determination and bravery, detailed environment blending chaos and beauty, illustration, digital art, - - ar 16 : 9 - - v 5",California
