topic,topic_id,weighted_prevalence,topic_label,super_topic,label_confidence,unsure_flag,topic_display
topic_2,2,0.067081077234931,Translation & Word Meanings,Information/Trivia & Explanatory QA,Medium,1,Translation & Word Meanings [topic_2]
topic_0,0,0.0640359953665879,Sports Script Writing,Creative Writing & Roleplay,Medium,0,Sports Script Writing [topic_0]
topic_3,3,0.0513817193274079,Political History Questions,"Politics, Religion, and Society",High,0,Political History Questions [topic_3]
topic_1,1,0.0505871372164266,DDLC Fan Fiction,Creative Writing & Roleplay,High,0,DDLC Fan Fiction [topic_1]
topic_4,4,0.0447027365086212,AI Art Prompting,"Media, Art, and Entertainment",High,0,AI Art Prompting [topic_4]
topic_6,6,0.036076673515912,Math Problem Solving,Education & Homework,Medium,0,Math Problem Solving [topic_6]
topic_8,8,0.0312227889381597,Career Resume Help,Career & Professional Writing,High,0,Career Resume Help [topic_8]
topic_5,5,0.0285289671215264,Monster-Girl Roleplay,Creative Writing & Roleplay,Medium,1,Monster-Girl Roleplay [topic_5]
topic_7,7,0.0245319487731726,Fetish Comedy Stories,Creative Writing & Roleplay,High,0,Fetish Comedy Stories [topic_7]
topic_10,10,0.0245164470183345,Adult Fantasy Fiction,Creative Writing & Roleplay,Medium,1,Adult Fantasy Fiction [topic_10]
topic_9,9,0.0223864915449526,Scam-Baiting Emails,"Finance, Law, and Practical Life",High,0,Scam-Baiting Emails [topic_9]
topic_12,12,0.0212800183019003,Chemistry Homework Help,Education & Homework,High,0,Chemistry Homework Help [topic_12]
topic_11,11,0.0208195662558719,Fan Crossover Shipping,Creative Writing & Roleplay,High,0,Fan Crossover Shipping [topic_11]
topic_16,16,0.0198495407950605,Programming Help,Coding & Technical Help,High,0,Programming Help [topic_16]
topic_13,13,0.0190346486815296,Social Media Copy,Career & Professional Writing,Medium,0,Social Media Copy [topic_13]
topic_14,14,0.018856457276817,Personal Finance Questions,"Finance, Law, and Practical Life",High,0,Personal Finance Questions [topic_14]
topic_15,15,0.0182674150219295,Music Theory Help,Education & Homework,Medium,0,Music Theory Help [topic_15]
topic_20,20,0.0169436145812433,AI Concept Questions,Information/Trivia & Explanatory QA,High,0,AI Concept Questions [topic_20]
topic_19,19,0.0168833185292645,Biology & Health Questions,"Health, Biology, and Medicine",Medium,1,Biology & Health Questions [topic_19]
topic_18,18,0.015876711822647,Versus Battle Scenarios,"Media, Art, and Entertainment",High,0,Versus Battle Scenarios [topic_18]
topic_17,17,0.0158291651196989,Religion & Theology,"Politics, Religion, and Society",High,0,Religion & Theology [topic_17]
topic_22,22,0.0157300712435026,Web Development Help,Coding & Technical Help,High,0,Web Development Help [topic_22]
